Comment,Designator,Footprint,LCSC
Polyfuse_Small,F1,Fuse_0603_1608Metric,C10677
SMF9.0CA,D_PWR1,D_SOD-123,C123799
100n,"C_VDD1,C_VDDIO2",C_0603_1608Metric,C14663
1u,C_VDDA2,C_0603_1608Metric,C15849
4.7u,"C_VDD2,C_VDDIO1",C_0603_1608Metric,C19666
10u,C_VDDA1,C_0603_1608Metric,C19702
1.5k,R_USB1,R_0603_1608Metric,C22843
4.7uF,C1,C_0402_1005Metric,C23733
BAV70,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D3,D4,D5,D6,D7,D8,D9",SOT-23,C2501
100k,R2,R_0402_1005Metric,C25741
10k,"R1,R3",R_0402_1005Metric,C25744
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186
USBLC6-2SC6,U3,SOT-23-6,C2827654
Conn_01x04_Male,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C2845363
B/R,SW1,SW_SPST_TL3342,C318884
470nF,C2,C_0402_1005Metric,C47339
1uF,"C3,C4",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U2,SOT-23,C5446
Conn_01x04_Male,J3,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
STM32F072CBTx,U1,LQFP-48_7x7mm_P0.5mm,C81720
5k1,"R4,R5",R_0603_1608Metric,C83063
2N7002,Q1,SOT-23,C8545
MX-NoLED,MX22,MXOnly-1U-NoLED,
MX-NoLED,MX39,MXOnly-1.5U-NoLED,
MX-NoLED,MX33,MXOnly-1U-NoLED,
MX-NoLED,MX20,MXOnly-6U-Centered-ReversedStabilizers-NoLED,
MX-NoLED,MX29,MXOnly-1U-NoLED,
MX-NoLED,MX25,MXOnly-1.75U-NoLED,
MX-NoLED,MX23,MXOnly-1U-NoLED,
MX-NoLED,MX43,MXOnly-1.25U-NoLED,
MX-NoLED,MX1,MXOnly-1.5U-NoLED,
MX-NoLED,MX6,MXOnly-1U-NoLED,
MX-NoLED,MX3,MXOnly-1U-NoLED,
MX-NoLED,MX31,MXOnly-1U-NoLED,
MX-NoLED,MX14,MXOnly-3U-ReversedStabilizers-NoLED,
MX-NoLED,MX40,MXOnly-1U-NoLED,
MX-NoLED,MX5,MXOnly-1.75U-NoLED,
MX-NoLED,MX24,MXOnly-3U-ReversedStabilizers-NoLED,
MX-NoLED,MX9,MXOnly-1.25U-NoLED,
MX-NoLED,MX37,MXOnly-1U-NoLED,
MX-NoLED,MX19,MXOnly-7U-ReversedStabilizers-NoLED,
MX-NoLED,MX16,MXOnly-1U-NoLED,
MX-NoLED,MX38,MXOnly-1U-NoLED,
MX-NoLED,MX17,MXOnly-1U-NoLED,
MX-NoLED,MX12,MXOnly-1U-NoLED,
MX-NoLED,MX34,MXOnly-1U-NoLED,
MX-NoLED,MX36,MXOnly-1.25U-NoLED,
MX-NoLED,MX30,MXOnly-1U-NoLED,
MX-NoLED,MX41,MXOnly-1.5U-NoLED,
MX-NoLED,MX11,MXOnly-1U-NoLED,
MX-NoLED,MX13,MXOnly-1.25U-NoLED,
MX-NoLED,MX15,MXOnly-1.75U-NoLED,
MX-NoLED,MX28,MXOnly-1U-NoLED,
MX-NoLED,MX21,MXOnly-1U-NoLED,
MX-NoLED,MX35,MXOnly-1U-NoLED,
MX-NoLED,MX2,MXOnly-1U-NoLED,
MX-NoLED,MX7,MXOnly-1U-NoLED,
MX-NoLED,MX44,MXOnly-1.75U-NoLED,
MX-NoLED,MX42,MXOnly-ISO,
MX-NoLED,MX32,MXOnly-1U-NoLED,
MX-NoLED,MX18,MXOnly-1U-NoLED,
MX-NoLED,MX10,MXOnly-1U-NoLED,
MX-NoLED,MX8,MXOnly-1U-NoLED,
MX-NoLED,MX4,MXOnly-1.25U-NoLED,
MX-NoLED,MX26,MXOnly-1U-NoLED,
MX-NoLED,MX27,MXOnly-1U-NoLED,
